PSNR,init_snr,init_sd,iter,sum
13.82612794354558,20.0,10.0,1024.0,2636086.75
15.130093905053712,20.0,5.0,0.0,2585557.204666212
16.90981430840675,20.0,5.0,8.0,2624314.0
17.367656338780264,20.0,5.0,16.0,2630255.25
18.054719577553033,20.0,5.0,32.0,2634303.75
18.471525430097966,20.0,5.0,64.0,2636715.75
18.293349331995678,20.0,5.0,128.0,2638006.5
17.471525633818562,20.0,5.0,256.0,2638751.0
15.567277152094533,20.0,5.0,512.0,2639298.5
12.510407927566687,20.0,5.0,1024.0,2639762.0
15.047623114053623,20.0,2.0,0.0,2589721.2894448666
16.88645813353591,20.0,2.0,8.0,2627942.75
17.30874924906065,20.0,2.0,16.0,2634720.25
17.88965100360286,20.0,2.0,32.0,2639537.25
18.11136869440758,20.0,2.0,64.0,2642333.5
17.69902259475877,20.0,2.0,128.0,2643563.75
16.602159876194456,20.0,2.0,256.0,2643866.25
14.462294667789307,20.0,2.0,512.0,2643896.5
11.321163007409321,20.0,2.0,1024.0,2643987.5
14.98086266917863,20.0,0.0,0.0,2582985.5024909135
16.852634867099738,20.0,0.0,8.0,2620916.25
17.243992170173307,20.0,0.0,16.0,2627260.0
17.770530141609676,20.0,0.0,32.0,2631578.5
17.87891183607762,20.0,0.0,64.0,2633752.5
17.245520136979696,20.0,0.0,128.0,2634269.5
15.807747494832165,20.0,0.0,256.0,2633507.25
13.28831980233715,20.0,0.0,512.0,2632252.75
9.854116062074805,20.0,0.0,1024.0,2630932.0
15.208526113497719,30.0,25.0,0.0,2440716.0651961537
16.891982527005798,30.0,25.0,8.0,2476558.5
17.307443503042215,30.0,25.0,16.0,2479912.0
17.986039500480544,30.0,25.0,32.0,2481592.0
18.525216499229135,30.0,25.0,64.0,2482404.5
18.624516401660827,30.0,25.0,128.0,2482700.0
18.20376282174659,30.0,25.0,256.0,2482785.0
16.685183056163698,30.0,25.0,512.0,2482804.5
13.831060423119848,30.0,25.0,1024.0,2482802.5
15.204003144035031,30.0,20.0,0.0,2440470.8311482267
16.89129231321283,30.0,20.0,8.0,2476370.5
17.307935647128893,30.0,20.0,16.0,2479882.0
17.983814643018754,30.0,20.0,32.0,2481734.75
18.514268990851527,30.0,20.0,64.0,2482599.5
18.583961653606316,30.0,20.0,128.0,2482830.75
18.076346550851095,30.0,20.0,256.0,2482866.5
16.42184167656962,30.0,20.0,512.0,2482898.5
13.503285625475005,30.0,20.0,1024.0,2482911.75
15.199024553278361,30.0,15.0,0.0,2441654.299298706
16.886980169474818,30.0,15.0,8.0,2477455.25
17.300352744625304,30.0,15.0,16.0,2481207.75
17.974763266220545,30.0,15.0,32.0,2483167.0
18.50286367344328,30.0,15.0,64.0,2484054.5
18.57169327364009,30.0,15.0,128.0,2484284.75
18.06205346268972,30.0,15.0,256.0,2484318.0
16.373292236061406,30.0,15.0,512.0,2484321.25
13.339700367520626,30.0,15.0,1024.0,2484328.25
15.18850628821215,30.0,10.0,0.0,2440684.8197550513
16.882595292535516,30.0,10.0,8.0,2476412.5
17.28871003289627,30.0,10.0,16.0,2480512.75
17.944019225421485,30.0,10.0,32.0,2482700.5
18.421318135402494,30.0,10.0,64.0,2483673.0
18.370538999354864,30.0,10.0,128.0,2483970.0
17.640196584704377,30.0,10.0,256.0,2484070.5
15.701910523067262,30.0,10.0,512.0,2484104.0
12.547448441419146,30.0,10.0,1024.0,2484101.75
15.12247086513855,30.0,5.0,0.0,2440227.213112253
16.88354048993911,30.0,5.0,8.0,2475171.75
17.29933701843462,30.0,5.0,16.0,2479732.5
17.967679595040508,30.0,5.0,32.0,2481934.0
18.419185018117695,30.0,5.0,64.0,2482834.75
18.157238358666913,30.0,5.0,128.0,2482998.25
16.919084149209283,30.0,5.0,256.0,2482942.5
14.484710831714636,30.0,5.0,512.0,2482817.75
11.246175641868827,30.0,5.0,1024.0,2482722.5
15.052337276613915,30.0,2.0,0.0,2437724.174431213
16.88588871134182,30.0,2.0,8.0,2471862.75
17.270717133859467,30.0,2.0,16.0,2476318.75
17.828808484963456,30.0,2.0,32.0,2478209.25
18.011809173433132,30.0,2.0,64.0,2478831.25
17.29201727971578,30.0,2.0,128.0,2479094.5
15.455452039316071,30.0,2.0,256.0,2479146.25
12.598736372298072,30.0,2.0,512.0,2479174.75
9.30113798782333,30.0,2.0,1024.0,2479166.75
14.962795654398345,30.0,0.0,0.0,2447504.086992261
16.857763793394355,30.0,0.0,8.0,2483875.75
17.231169336631318,30.0,0.0,16.0,2488661.0
17.770369740174804,30.0,0.0,32.0,2491294.0
17.922742500681373,30.0,0.0,64.0,2492572.75
17.131379394620513,30.0,0.0,128.0,2493089.0
15.065360869136214,30.0,0.0,256.0,2493362.25
11.767099542114398,30.0,0.0,512.0,2493468.0
8.142227500481752,30.0,0.0,1024.0,2493541.75
15.205376336662146,40.0,25.0,0.0,2425974.057258936
16.88864103501081,40.0,25.0,8.0,2461912.75
17.299576772926944,40.0,25.0,16.0,2465370.25
